"","PTC.Open","PTC.High","PTC.Low","PTC.Close","PTC.Volume","PTC.Adjusted"
"2020-07-01",77.93,79.75,77.360001,78.440002,801100,78.440002
"2020-07-02",79.510002,80.230003,78.07,78.269997,709600,78.269997
"2020-07-06",79.519997,80.32,78.650002,79.080002,691600,79.080002
"2020-07-07",78.300003,79.099998,76.419998,76.589996,744700,76.589996
"2020-07-08",77.099998,78.559998,76.760002,78.5,625200,78.5
"2020-07-09",82,86.029999,81.300003,85,1678300,85
"2020-07-10",85,85.239998,82.589996,82.889999,782200,82.889999
"2020-07-13",83.379997,83.470001,78.169998,78.230003,782800,78.230003
"2020-07-14",77.980003,78.599998,76.150002,78.410004,1226500,78.410004
"2020-07-15",79.779999,80.919998,78.830002,80.279999,568500,80.279999
"2020-07-16",82.650002,82.650002,79.309998,80.360001,1066200,80.360001
"2020-07-17",81.019997,81.32,79.989998,80.75,768300,80.75
"2020-07-20",81.080002,83.239998,81.059998,83.029999,589000,83.029999
"2020-07-21",84.910004,85.059998,83,83.150002,642700,83.150002
"2020-07-22",84.160004,84.589996,83.510002,83.830002,408000,83.830002
"2020-07-23",83.510002,85.43,82.870003,83.610001,624500,83.610001
"2020-07-24",82.599998,83.089996,80.739998,81.459999,702000,81.459999
"2020-07-27",83,83.559998,81.010002,83.139999,623800,83.139999
"2020-07-28",84,84.099998,82.089996,82.25,610100,82.25
"2020-07-29",83,84.730003,83,84.029999,608500,84.029999
"2020-07-30",86.480003,86.790001,82.120003,85.580002,1270100,85.580002
"2020-07-31",88,88.800003,83.739998,85.559998,994100,85.559998
"2020-08-03",85.980003,86.989998,85.769997,86.349998,693300,86.349998
"2020-08-04",86.370003,86.959999,85.370003,86.599998,562800,86.599998
"2020-08-05",87,88.849998,87,87.879997,481800,87.879997
"2020-08-06",87.949997,88.730003,87.050003,88.589996,542100,88.589996
"2020-08-07",88,88.610001,86.029999,86.940002,533700,86.940002
"2020-08-10",86.57,86.959999,84.809998,85.900002,417200,85.900002
"2020-08-11",86,86.68,84.639999,84.800003,577900,84.800003
"2020-08-12",85.230003,86.830002,85.129997,85.919998,461200,85.919998
"2020-08-13",86,89.150002,85.919998,88.059998,711300,88.059998
"2020-08-14",87.720001,88.010002,86.860001,87.480003,551100,87.480003
"2020-08-17",88,88.919998,87.849998,88.220001,545100,88.220001
"2020-08-18",88.82,90.529999,88.690002,89.849998,839900,89.849998
"2020-08-19",89.839996,90.360001,88.459999,88.540001,784300,88.540001
"2020-08-20",88.400002,88.43,87.610001,88.029999,440300,88.029999
"2020-08-21",87.919998,87.919998,86.739998,87.360001,1039700,87.360001
"2020-08-24",87.839996,88.029999,86.349998,87.099998,516900,87.099998
"2020-08-25",86.849998,88.199997,86.68,88.139999,485800,88.139999
"2020-08-26",89.540001,90.550003,87.650002,89.779999,894300,89.779999
"2020-08-27",89.75,89.940002,88.269997,89.419998,629300,89.419998
"2020-08-28",89.870003,91.25,89.739998,91.150002,381100,91.150002
"2020-08-31",91.150002,91.940002,90.5,91.410004,763800,91.410004
"2020-09-01",91.5,95.589996,91.379997,95.440002,773900,95.440002
"2020-09-02",95.32,97.669998,94.769997,97.599998,748100,97.599998
"2020-09-03",96.120003,96.589996,91.82,92.639999,1035900,92.639999
"2020-09-04",92.040001,92.059998,86.919998,87.690002,1166100,87.690002
"2020-09-08",83.989998,88.620003,83.989998,86.709999,1037600,86.709999
"2020-09-09",87.739998,89.309998,87.050003,88.599998,500700,88.599998
"2020-09-10",88.739998,91.279999,83.639999,83.769997,1507300,83.769997
"2020-09-11",83.769997,84.169998,80.940002,82.300003,1403000,82.300003
"2020-09-14",83.32,85.739998,83,85.400002,762800,85.400002
"2020-09-15",86.25,88.489998,86.120003,88.32,780300,88.32
"2020-09-16",89.349998,89.599998,87.660004,87.800003,574200,87.800003
"2020-09-17",85.839996,86.720001,85.059998,86.699997,804900,86.699997
"2020-09-18",86.739998,87.940002,84.589996,86.110001,1475600,86.110001
"2020-09-21",84.370003,85.349998,82.870003,85.330002,685700,85.330002
"2020-09-22",85.879997,86.589996,84.68,85.849998,598400,85.849998
"2020-09-23",85.620003,85.760002,81.440002,81.699997,705600,81.699997
"2020-09-24",81.260002,81.760002,79.709999,80.279999,1110100,80.279999
"2020-09-25",80.150002,82.32,79.510002,81.68,1240700,81.68
"2020-09-28",83.339996,83.550003,82.269997,82.900002,542900,82.900002
"2020-09-29",83.139999,84.510002,82.300003,82.349998,603800,82.349998
"2020-09-30",82.349998,83.410004,81.68,82.720001,935600,82.720001
"2020-10-01",83.660004,84.519997,83.209999,84.129997,851200,84.129997
"2020-10-02",81.919998,83.339996,81.169998,82.160004,667000,82.160004
"2020-10-05",83,83.720001,82.080002,82.720001,800700,82.720001
"2020-10-06",82.720001,84.489998,81.029999,81.220001,814600,81.220001
"2020-10-07",82,83.360001,81.120003,83.209999,1032100,83.209999
"2020-10-08",83.93,85.209999,83.110001,84.059998,654700,84.059998
"2020-10-09",84.510002,86.550003,84.510002,85.940002,455700,85.940002
"2020-10-12",86.860001,87.830002,85.910004,87.5,463200,87.5
"2020-10-13",87.940002,89.449997,87.160004,87.389999,736600,87.389999
"2020-10-14",88.57,88.599998,85.669998,85.779999,539300,85.779999
"2020-10-15",84.309998,87.940002,84.010002,87.790001,568800,87.790001
"2020-10-16",88,88.879997,87.5,87.620003,776800,87.620003
"2020-10-19",88.220001,89.260002,85.879997,86.440002,458900,86.440002
"2020-10-20",86.889999,87.980003,86.519997,87.190002,474900,87.190002
"2020-10-21",87.169998,88.370003,86.589996,86.980003,375700,86.980003
"2020-10-22",86.860001,87.68,85.870003,86.790001,494900,86.790001
"2020-10-23",87.169998,89.379997,86.540001,89.25,623100,89.25
"2020-10-26",88.080002,88.599998,82.400002,83.669998,1262500,83.669998
"2020-10-27",84.25,85.989998,83.720001,84.260002,720400,84.260002
"2020-10-28",82.260002,87.68,79.360001,82.470001,1636200,82.470001
"2020-10-29",80,87.550003,79.5,85.870003,2008000,85.870003
"2020-10-30",83.25,85.279999,82.050003,83.879997,1061700,83.879997
"2020-11-02",84.599998,87.18,84.019997,86.879997,761600,86.879997
"2020-11-03",87.629997,92.739998,86.489998,92.160004,1104300,92.160004
"2020-11-04",92,93.279999,89.68,92.360001,1004500,92.360001
"2020-11-05",93.32,94.690002,93.220001,93.940002,719900,93.940002
"2020-11-06",94,95.639999,92.739998,94.839996,478100,94.839996
"2020-11-09",96.660004,97.279999,92.730003,92.910004,926900,92.910004
"2020-11-10",92.690002,94.459999,89.989998,94.239998,764400,94.239998
"2020-11-11",95,96.669998,94.589996,95.309998,680700,95.309998
"2020-11-12",95.379997,96.959999,94.139999,94.68,516900,94.68
"2020-11-13",94.910004,97.57,94.449997,97.209999,453300,97.209999
"2020-11-16",96.589996,99.230003,95.599998,98.519997,696800,98.519997
"2020-11-17",97.059998,99.870003,97.059998,99.129997,883000,99.129997
"2020-11-18",98.980003,99.949997,97.769997,98.330002,681100,98.330002
"2020-11-19",97.919998,100.339996,97.339996,100.209999,613600,100.209999
"2020-11-20",100,102.029999,99.349998,101.139999,466600,101.139999
"2020-11-23",102.080002,103.699997,101,103.190002,475700,103.190002
"2020-11-24",104,104.120003,102.209999,103.910004,626900,103.910004
"2020-11-25",104.25,106.300003,103.620003,105.959999,645100,105.959999
"2020-11-27",106.120003,108.800003,106.040001,108.610001,387100,108.610001
"2020-11-30",109.510002,110.629997,107.57,107.849998,914300,107.849998
"2020-12-01",108.269997,108.93,106.949997,108.529999,730100,108.529999
"2020-12-02",107.589996,107.739998,106.349998,107.260002,597500,107.260002
"2020-12-03",107.059998,109.32,107.010002,107.980003,462600,107.980003
"2020-12-04",108.449997,110.089996,108.449997,109.599998,596900,109.599998
"2020-12-07",110.260002,111.5,109.099998,111.150002,410000,111.150002
"2020-12-08",111.639999,112.040001,111,111.300003,321100,111.300003
"2020-12-09",113.239998,114.029999,110.779999,111.57,723500,111.57
"2020-12-10",111.129997,113.040001,110,112.660004,535100,112.660004
"2020-12-11",111.900002,113.68,111.779999,112.980003,706100,112.980003
"2020-12-14",113.199997,116.230003,112.940002,113.830002,746000,113.830002
"2020-12-15",114.300003,115.5,113.010002,114.050003,646900,114.050003
"2020-12-16",115.419998,116.790001,114.190002,115.07,990000,115.07
"2020-12-17",116,118.519997,115.650002,118.470001,835800,118.470001
"2020-12-18",119.370003,119.970001,117.389999,118.389999,1858600,118.389999
"2020-12-21",116.739998,120.370003,115.849998,120.139999,730400,120.139999
"2020-12-22",120.489998,121.550003,119.580002,120.019997,439000,120.019997
"2020-12-23",119.980003,121.25,118.870003,119.169998,392600,119.169998
"2020-12-24",119.82,120.18,119.040001,119.849998,189400,119.849998
"2020-12-28",121.360001,121.75,118,118.809998,392700,118.809998
"2020-12-29",118.800003,118.940002,116.980003,117.769997,293400,117.769997
